source_enum	members	decision	current_enums	member_reuse	reason
include/kf/game_menu.h:KfSaveSlotOverlay	KF_SAVE_OVERLAY_NONE=-1;KF_SAVE_OVERLAY_SKIP_FIRST=0;KF_SAVE_OVERLAY_SKIP_SECOND=1;KF_SAVE_OVERLAY_SKIP_THIRD=2;KF_SAVE_OVERLAY_ALL=3	retain	include/kf/game_menu.h:KfSaveSlotOverlay		Overlay selection skips a zero-based slot or all/none; saved-file slot IDs are one-based, so they are not the same encoding.
include/kf/game_menu.h:KfMenuTextureId	KF_MENU_TEXTURE_NONE=255;MENU_TEXTURE_LOADING_DATA=103;MENU_TEXTURE_SAVING_DATA=104;MENU_TEXTURE_FORMATTING_CARD=105;MENU_TEXTURE_CONFIRM_CARD_FORMAT=114;MENU_TEXTURE_POWER_OFF=998	retain	include/kf/game_menu.h:KfMenuTextureId		Menu texture IDs are zero-based and the loader adds one; direct save-message image numbers therefore cannot replace them.
include/kf/game_menu.h:KfItemPickupResult	KF_ITEM_PICKUP_PENDING=-99;KF_ITEM_PICKUP_ACQUIRED=0;KF_ITEM_PICKUP_NOT_ACQUIRED=1;KF_ITEM_PICKUP_STACK_FULL=2	reuse	include/kf/game_menu.h:KfMenuResult	KF_ITEM_PICKUP_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_ITEM_PICKUP_ACQUIRED=include/kf/game_menu.h:KF_MENU_RESULT_ACCEPTED;KF_ITEM_PICKUP_NOT_ACQUIRED=include/kf/game_menu.h:KF_MENU_RESULT_DECLINED;KF_ITEM_PICKUP_STACK_FULL=include/kf/game_menu.h:KF_MENU_RESULT_STACK_FULL	Use shared pending/accepted/declined/stack-full menu results for item pickup; the nonnegative item payload channel remains separate.
include/kf/game_menu.h:KfMenuSoundCue	MENU_SOUND_CURSOR=0;MENU_SOUND_CONFIRM=1;MENU_SOUND_CANCEL_OR_ERROR=2	retain	include/kf/game_menu.h:KfMenuSoundCue		Cursor/confirm/cancel sound cues select UI feedback, not button-state or menu result codes.
include/kf/game_menu.h:MENU_TEXT_END	MENU_TEXT_END=-1;MENU_TEXT_BLANK=255;MENU_TEXT_GLYPH_MASK=4095;MENU_TEXT_DAKUTEN=4096;MENU_TEXT_HANDAKUTEN=8192;MENU_NUMBER_BLANK=10;MENU_NUMBER_SLASH=11;MENU_NUMBER_ADVANCE=7	retain	include/kf/game_menu.h:MENU_TEXT_END		Text glyph masks/marks and number-atlas blanks belong to those resource encodings; independent terminators remain tied to their stream.
include/kf/game_menu.h:MENU_STATS_VITAL_DIGITS	MENU_STATS_VITAL_DIGITS=4;MENU_STATS_VALUE_DIGITS=6	retain	include/kf/game_menu.h:MENU_STATS_VITAL_DIGITS		Vital and stat digit widths format different displayed quantities; they are not storage sizes or shared numeric maxima.
include/kf/game_menu.h:MENU_CLASS_MIDDLE_STAT_MIN	MENU_CLASS_MIDDLE_STAT_MIN=40;MENU_CLASS_HIGH_STAT_MIN=60;MENU_CLASS_MAGIC_TIER_COUNT=3;MENU_CLASS_LABEL_GLYPHS=4;MENU_CLASS_FIRST_GLYPH=256	retain	include/kf/game_menu.h:MENU_CLASS_MIDDLE_STAT_MIN		Class thresholds and class-label atlas dimensions belong to the status-name calculation, not player level or inventory IDs.
include/kf/game_menu.h:MENU_BACKDROP_COLUMN_STEP	MENU_BACKDROP_COLUMN_STEP=71;MENU_BACKDROP_ROW_STEP=104;MENU_BACKDROP_TOP_Y=16;MENU_BACKDROP_BOTTOM_Y=120	retain	include/kf/game_menu.h:MENU_BACKDROP_COLUMN_STEP		Backdrop stride and top/bottom positions describe the menu tile geometry, not font rows or unrelated world coordinates.
include/kf/game_menu.h:MENU_WIDGET_OT_DEPTH	MENU_WIDGET_OT_DEPTH=2000;MENU_WINDOW_OT_DEPTH=2900;MENU_BACKGROUND_OT_DEPTH=3000;MENU_PANEL_INPUT_RELEASE_FRAME=2	reuse	include/kf/game_menu.h:MENU_MARKER_OT_DEPTH		Shared menu depth layers serve markers, content, widgets, windows and backgrounds. Input-release timing remains a separate frame threshold.
include/kf/game_menu.h:MENU_GLYPHS_PER_ROW	MENU_GLYPHS_PER_ROW=10;MENU_WINDOW_ROW_CAPACITY=10	retain	include/kf/game_menu.h:MENU_GLYPHS_PER_ROW		Entry glyph width and window row capacity bound different dimensions of the menu list/window structures.
include/kf/game_menu.h:MENU_LIST_TILE_BACKDROP	MENU_LIST_TILE_BACKDROP=0;MENU_LIST_TILE_ROW=1;MENU_LIST_TILE_END=2;MENU_LIST_TILE_SELECTED=3;MENU_LIST_TILE_COUNT=4	retain	include/kf/game_menu.h:MENU_LIST_TILE_BACKDROP		List tile indices address backdrop/row/end/selection primitives; they are not root choice or window resource IDs.
include/kf/game_menu.h:MENU_BACKGROUND_QUAD_COUNT	MENU_BACKGROUND_QUAD_COUNT=4;MENU_DIALOG_QUAD_COUNT=6	retain	include/kf/game_menu.h:MENU_BACKGROUND_QUAD_COUNT		Background and dialog quad counts describe separate primitive arrays with different extents.
include/kf/game_menu.h:MENU_ITEM_PREVIEW_YAW_STEP	MENU_ITEM_PREVIEW_YAW_STEP=16;MENU_PICKUP_PREVIEW_YAW_STEP=8	retain	include/kf/game_menu.h:MENU_ITEM_PREVIEW_YAW_STEP		Item-preview and pickup-preview yaw increments remain distinct animation rates; their values already differ.
include/kf/game_menu.h:MENU_ITEM_PREVIEW_TRANSLATION_X	MENU_ITEM_PREVIEW_TRANSLATION_X=560;MENU_ITEM_PREVIEW_TRANSLATION_Y=140;MENU_ITEM_PREVIEW_TRANSLATION_Z=1500	retain	include/kf/game_menu.h:MENU_ITEM_PREVIEW_TRANSLATION_X		Preview translation X/Y/Z are world/view coordinates for the model, distinct from its on-screen name position.
include/kf/game_menu.h:MENU_ITEM_PREVIEW_NAME_X	MENU_ITEM_PREVIEW_NAME_X=174;MENU_ITEM_PREVIEW_NAME_Y=36;MENU_ITEM_PREVIEW_LINE_HEIGHT=18;MENU_ITEM_PREVIEW_QUANTITY_DIGITS=2	reuse	include/kf/game_menu.h:MENU_ITEM_NAME_X	MENU_ITEM_PREVIEW_NAME_X=include/kf/game_menu.h:MENU_ITEM_NAME_X	Use the common item-name X column for equipment and item preview; retain preview Y, line height and quantity digits.
include/kf/game_menu.h:KfMenuModelAllocation	KF_MENU_MODEL_RELEASED=0;KF_MENU_MODEL_ALLOCATED=1	retain	include/kf/game_menu.h:KfMenuModelAllocation		Model allocated/released tracks preview resource ownership, not whether the item exists in inventory or the panel is pending.
include/kf/game_player.h:KF_PLAYER_SOUND_WEAPON_ATTACK	KF_PLAYER_SOUND_WEAPON_ATTACK=0;KF_PLAYER_SOUND_DEATH=1;KF_PLAYER_SOUND_LEVEL_UP=2;KF_PLAYER_SOUND_COUNT=3	retain	include/kf/game_player.h:KF_PLAYER_SOUND_WEAPON_ATTACK		Player attack/death/level-up sound slots have a different order from actor attack/hit/death slots.
include/kf/game_player.h:KfPlayerOption	KF_PLAYER_OPTION_OFF=0;KF_PLAYER_OPTION_ON=1	retain	include/kf/game_player.h:KfPlayerOption		Player options are exact zero/one persisted settings; keep their checked domain and byte/word storage wrappers shared across config consumers.
include/kf/game_player.h:KfPlayerVerticalState	KF_PLAYER_VERTICAL_GROUNDED=0;KF_PLAYER_VERTICAL_FALLING=16;KF_PLAYER_VERTICAL_STEP_UP=32	retain	include/kf/game_player.h:KfPlayerVerticalState		Player grounded/falling/step-up uses a different encoding and state set from actor vertical motion.
include/kf/game_player.h:KF_PLAYER_CAMERA_HEIGHT	KF_PLAYER_CAMERA_HEIGHT=1500	retain	include/kf/game_player.h:KF_PLAYER_CAMERA_HEIGHT		Player camera height is shared by camera positioning; identical attachment/launch offsets do not identify the same measurement.
include/kf/game_player.h:KF_PLAYER_CAMERA_PITCH_LIMIT	KF_PLAYER_CAMERA_PITCH_LIMIT=191	canonical	include/kf/game_player.h:KF_PLAYER_CAMERA_PITCH_LIMIT		Canonical camera pitch limit is used directly by the player clamp and the container-camera script.
include/kf/game_player.h:KF_PLAYER_CHARGE_FULL	KF_PLAYER_CHARGE_FULL=5000;KF_PLAYER_CHARGE_GAIN_MULTIPLIER=2;KF_WEAPON_ATTACK_INACTIVE=-1;KF_WEAPON_ATTACK_PHASE_STEP=300;KF_WEAPON_ATTACK_PHASE_END=4096	retain	include/kf/game_player.h:KF_PLAYER_CHARGE_FULL		Charge magnitude, gain multiplier and weapon animation phase/countdown markers retain their separate quantities, despite some equal values.
include/kf/game_player.h:KfWarpShimmerMode	KF_WARP_SHIMMER_GROW_REMOVE=0;KF_WARP_SHIMMER_SHRINK_REMOVE=1;KF_WARP_SHIMMER_GROW_KEEP=2	retain	include/kf/game_player.h:KfWarpShimmerMode		GAME grow-remove/shrink-remove/grow-keep modes differ from OPEN grow/remove/shrink/create codes; only cylinder tuning is shared.
include/kf/game_player.h:KF_PLAYER_FLOOR_ENTRY_COUNT	KF_PLAYER_FLOOR_ENTRY_COUNT=5	retain	include/kf/game_player.h:KF_PLAYER_FLOOR_ENTRY_COUNT		The player's floor-entry table count bounds its recorded destinations; it is not the count of saved floors or map cells.
include/kf/game_player.h:KfPlayerUpdateState	KF_PLAYER_UPDATE_NORMAL=0;KF_PLAYER_DAMAGE_FRAME_FIRST=1;KF_PLAYER_DAMAGE_FRAME_2=2;KF_PLAYER_DAMAGE_FRAME_3=3;KF_PLAYER_DAMAGE_FRAME_4=4;KF_PLAYER_DAMAGE_FRAME_5=5;KF_PLAYER_DAMAGE_FRAME_6=6;KF_PLAYER_DAMAGE_FRAME_7=7;KF_PLAYER_DAMAGE_FRAME_END=8;KF_PLAYER_UPDATE_RECOVERY_FADE=254;KF_PLAYER_UPDATE_DYING=255	retain	include/kf/game_player.h:KfPlayerUpdateState		Normal, damage-counter, recovery and dying values belong to the player update dispatcher; equal sentinels elsewhere do not encode these states.
include/kf/game_player.h:KfActorSpawnPermission	KF_ACTOR_NEAR_SPAWN_FORBIDDEN=0;KF_ACTOR_NEAR_SPAWN_ALLOWED=1	retain	include/kf/game_player.h:KfActorSpawnPermission		Near-spawn permission is the caller's spawning policy, independent of actual slot/lifecycle state and player options.
include/kf/game_player.h:KfWeaponAttackCharge	KF_WEAPON_ATTACK_NORMAL_CHARGE=0;KF_WEAPON_ATTACK_FULL_CHARGE=1	retain	include/kf/game_player.h:KfWeaponAttackCharge		Normal/full attack charge selects the attack calculation branch; the numeric charge accumulator uses a different scale.
include/kf/game_player.h:KF_PLAYER_STATUS_TIMER_INACTIVE	KF_PLAYER_STATUS_TIMER_INACTIVE=-1;KF_CURSE_DURATION_UPDATES=600;KF_DARKNESS_DURATION_UPDATES=1000;KF_DARKNESS_REAPPLY_TIMER=970;KF_POISON_DURATION_UPDATES=600;KF_SLOWED_DURATION_UPDATES=300;KF_FIRE_DEFENSE_DURATION_UPDATES=500	retain	include/kf/game_player.h:KF_PLAYER_STATUS_TIMER_INACTIVE		Status timers share the inactive marker but keep per-status duration/reapply behavior; equal durations do not couple curse and poison logic.
include/kf/game_player.h:KF_ILLUSION_STAFF_INACTIVE	KF_ILLUSION_STAFF_INACTIVE=-1	retain	include/kf/game_player.h:KF_ILLUSION_STAFF_INACTIVE		The illusion-staff timer's inactive marker belongs to its map-remap lifetime, not a menu cancellation or free object ID.
include/kf/game_player.h:KF_PLAYER_POWER_MAX	KF_PLAYER_POWER_MAX=999;KF_PLAYER_VITAL_MAX=9999;KF_PLAYER_EXPERIENCE_MAX=99999;KF_PLAYER_LEVEL_MAX=255;KF_PLAYER_LEVEL_GROWTH_COUNT=40;KF_PLAYER_TRAINING_POINTS_PER_GAIN=100	retain	include/kf/game_player.h:KF_PLAYER_POWER_MAX		Power, vitals, experience, level and training thresholds bound different player quantities; equal displayed limits do not share units.
include/kf/game_player.h:KF_PLAYER_DAMAGE_MULTIPLIER_ONE	KF_PLAYER_DAMAGE_MULTIPLIER_ONE=10	retain	include/kf/game_player.h:KF_PLAYER_DAMAGE_MULTIPLIER_ONE		Player damage multiplier one is a unit multiplier passed to effect creation; actor damage scaling uses 5000-based fixed-point magnitude.
include/kf/game_render.h:KfGameColorPreset	KF_GAME_COLOR_DEFAULT=0;KF_GAME_COLOR_DAMAGE=1;KF_GAME_COLOR_DEFENSE_EFFECT=2;KF_GAME_COLOR_WHITE=3;KF_GAME_COLOR_BLACK=4;KF_GAME_COLOR_GREEN=5;KF_GAME_COLOR_BLUE=6	retain	include/kf/game_render.h:KfGameColorPreset		GAME color presets index a seven-row bank whose damage/default ordering differs from OPEN's five-row palette bank.
include/kf/game_render.h:KfSystemScreen	KF_SYSTEM_SCREEN_CD_SEARCH_FAILED=0;KF_SYSTEM_SCREEN_CD_READ_FAILED=1;KF_SYSTEM_SCREEN_NO_MEMORY_CARD=2;KF_SYSTEM_SCREEN_PAUSE=3	retain	include/kf/game_render.h:KfSystemScreen		System screen IDs select CD/card/pause artwork, separate from zero-based menu texture IDs and direct TIM message IDs.
include/kf/game_render.h:KF_SYSTEM_SCREEN_LEFT	KF_SYSTEM_SCREEN_LEFT=32;KF_SYSTEM_SCREEN_TOP=112;KF_SYSTEM_SCREEN_RIGHT=288;KF_SYSTEM_SCREEN_BOTTOM=240;KF_SYSTEM_SCREEN_U_SPAN=255;KF_SYSTEM_SCREEN_V_SPAN=128;KF_SYSTEM_SCREEN_TPAGE_X=960;KF_SYSTEM_SCREEN_CLUT_Y=501	retain	include/kf/game_render.h:KF_SYSTEM_SCREEN_LEFT		System screen coordinates, UV extents, TPAGE and CLUT belong to its full-screen primitive; equal display sizes do not identify texture coordinates.
include/kf/game_render.h:KF_GAME_COLOR_PRESET_COUNT	KF_GAME_COLOR_PRESET_COUNT=7;KF_GAME_TMD_SLOT_COUNT=8;KF_HUD_DEFAULT_BRIGHTNESS=86	retain	include/kf/game_render.h:KF_GAME_COLOR_PRESET_COUNT		Color-preset count, TMD slot count and HUD brightness describe separate banks/quantities; OPEN has different counts.
include/kf/game_render.h:KF_HUD_HP_GAUGE	KF_HUD_HP_GAUGE=0;KF_HUD_MP_GAUGE=1;KF_HUD_ATTACK_GAUGE=2;KF_HUD_MAGIC_GAUGE=3;KF_HUD_POISON_ICON=4;KF_HUD_SLOWED_ICON=5;KF_HUD_DARKNESS_ICON=6;KF_HUD_CURSE_ICON=7;KF_HUD_HP_PANEL=8;KF_HUD_MP_PANEL=9;KF_HUD_ATTACK_PANEL=10;KF_HUD_MAGIC_PANEL=11;KF_HUD_COMPASS=12;KF_HUD_TABLE_ROWS=14	retain	include/kf/game_render.h:KF_HUD_HP_GAUGE		HUD sprite rows index gauges/status icons/panels/compass; combat components and menu categories have different orders and dimensions.
include/kf/game_render.h:KfHudSpriteState	KF_HUD_HIDDEN=0;KF_HUD_VISIBLE=1;KF_HUD_END=255	reuse	include/kf/game_render.h:KfSpriteState	KF_HUD_HIDDEN=include/kf/game_render.h:KF_SPRITE_HIDDEN;KF_HUD_VISIBLE=include/kf/game_render.h:KF_SPRITE_VISIBLE;KF_HUD_END=include/kf/game_render.h:KF_SPRITE_END	Canonical KfSpriteState now supplies hidden/visible/end to HUD, effect and notification records; traversal rules remain in each renderer.
include/kf/game_render.h:KfEffectSpriteState	KF_EFFECT_SPRITE_HIDDEN=0;KF_EFFECT_SPRITE_ACTIVE=1;KF_EFFECT_SPRITE_END=255	reuse	include/kf/game_render.h:KfSpriteState	KF_EFFECT_SPRITE_HIDDEN=include/kf/game_render.h:KF_SPRITE_HIDDEN;KF_EFFECT_SPRITE_ACTIVE=include/kf/game_render.h:KF_SPRITE_VISIBLE;KF_EFFECT_SPRITE_END=include/kf/game_render.h:KF_SPRITE_END	Reuse KfSpriteState; effect traversal still stops at any non-visible state, while HUD traversal has a distinct end-marker rule.
include/kf/game_render.h:KF_EFFECT_SPRITE_COMPASS	KF_EFFECT_SPRITE_COMPASS=0;KF_EFFECT_SPRITE_TABLE_ROWS=2	retain	include/kf/game_render.h:KF_EFFECT_SPRITE_COMPASS		The compass row and effect-sprite table size bound that resource table; HUD compass row and notification rows are different indices.
include/kf/game_render.h:KF_RENDER_LIGHT_ACTOR	KF_RENDER_LIGHT_ACTOR=0;KF_RENDER_LIGHT_FLOOR_ITEM=1;KF_RENDER_LIGHT_EFFECT=2;KF_RENDER_LIGHT_WEAPON=3;KF_RENDER_LIGHT_HUD=4;KF_RENDER_LIGHT_NOTIFICATION=5;KF_RENDER_LIGHT_COUNT=6	retain	include/kf/game_render.h:KF_RENDER_LIGHT_ACTOR		Render light slots group actor/item/effect/weapon/HUD/notification lighting, independent of color-preset IDs and effect kinds.
include/kf/game_save.h:KF_CARD_CHANNEL	KF_CARD_CHANNEL=0	retain	include/kf/game_save.h:KF_CARD_CHANNEL		The memory-card SDK channel identifies a hardware port, not a save slot or menu row.
include/kf/game_save.h:KfSaveStatus	KF_CARD_STATUS_NOT_STARTED=0;KF_CARD_STATUS_IO_END=1;KF_CARD_STATUS_TIMEOUT=2;KF_CARD_STATUS_NEW_DEVICE=3;KF_CARD_STATUS_ERROR=4;SAVE_STATUS_OK=1;SAVE_STATUS_FORMAT_REQUIRED=3;SAVE_STATUS_NO_SPACE=5;SAVE_STATUS_FAILED=6;SAVE_STATUS_NO_DATA=7;SAVE_STATUS_FORMAT_CONFIRMATION=8;SAVE_STATUS_09=9;SAVE_STATUS_10=10;SAVE_STATUS_FORMAT_FAILED=11;SAVE_STATUS_STALE_CATALOG=12;SAVE_STATUS_READ_FAILED=13;SAVE_STATUS_WRITE_FAILED=14	reuse	include/kf/game_save.h:KfSaveStatus	KF_CARD_STATUS_IO_END=include/kf/game_save.h:SAVE_STATUS_OK	Card events and file-policy statuses already share KfSaveStatus; retain new-device versus format-required meanings within that channel and reuse its completion code directly.
include/kf/game_save.h:KfSaveResult	KF_SAVE_RESULT_FAILED=0;KF_SAVE_RESULT_OK=1;KF_SAVE_RESULT_FORMAT_REQUIRED=2;KF_SAVE_RESULT_FORMAT_CONFIRMATION=2;KF_SAVE_RESULT_NO_SPACE=3;KF_SAVE_RESULT_READ_FAILED=13	reuse	include/kf/game_save.h:KfSaveResult	KF_SAVE_RESULT_FORMAT_CONFIRMATION=include/kf/game_save.h:KF_SAVE_RESULT_FORMAT_REQUIRED	Remove duplicate format-result naming; retain result codes because failed/format/no-space remap the internal status channel's encodings.
include/kf/game_save.h:KfSaveCleanupResult	KF_SAVE_CLEANUP_TEMP_OPEN_FAILED=0;KF_SAVE_CLEANUP_TEMP_OPENED=1;KF_SAVE_CLEANUP_CARD_TIMEOUT=2;KF_SAVE_CLEANUP_CARD_ERROR=4	retain	include/kf/game_save.h:KfSaveCleanupResult		Cleanup's zero/opened result differs from internal not-started/IO-complete state; timeout/error explicitly transport status encodings without merging incompatible meanings.
include/kf/game_save.h:KfCardFormatConfirmation	KF_CARD_FORMAT_UNCONFIRMED=0;KF_CARD_FORMAT_CONFIRMED=1	retain	include/kf/game_save.h:KfCardFormatConfirmation		Format confirmation is a signed-halfword input policy checked on the completion path, separate from the returned format-required result.
include/kf/game_save.h:KF_SAVE_SLOT_COUNT	KF_SAVE_SLOT_COUNT=3;KF_SAVE_DIRECTORY_ENTRIES=4	retain	include/kf/game_save.h:KF_SAVE_SLOT_COUNT		Save-slot count and directory capacity differ; menu save/load rows already derive from the shared slot count.
include/kf/game_save.h:KfSaveSlotId	KF_SAVE_SLOT_EMPTY=0;KF_SAVE_SLOT_FIRST=1;KF_SAVE_SLOT_SECOND=2;KF_SAVE_SLOT_THIRD=3;KF_SAVE_SLOT_SPARE=4	retain	include/kf/game_save.h:KfSaveSlotId		One-based save slot IDs and empty/spare markers are shared by directory and I/O APIs; zero-based overlay/menu rows remain distinct.
include/kf/game_save.h:KfSaveIconType	KF_SAVE_ICON_THREE_FRAMES=19	retain	include/kf/game_save.h:KfSaveIconType		The icon type is the encoded memory-card header format 0x13, not the numeric frame count three.
include/kf/game_save.h:KF_SAVE_MAGIC_BYTES	KF_SAVE_MAGIC_BYTES=2;KF_SAVE_TITLE_BYTES=64;KF_SAVE_ICON_PALETTE_COLORS=16;KF_SAVE_ICON_FRAME_COUNT=3;KF_SAVE_ICON_FRAME_BYTES=128;KF_SAVE_PLAYER_STATE_WORDS=56	retain	include/kf/game_save.h:KF_SAVE_MAGIC_BYTES		Magic/title/palette/frame byte spans and player-state word count describe distinct fields in the card layout.
include/kf/game_state.h:KF_GAMEPLAY_SOUND_COUNT	KF_GAMEPLAY_SOUND_COUNT=13	retain	include/kf/game_state.h:KF_GAMEPLAY_SOUND_COUNT		Gameplay sound count bounds the global SoundRef table, not actor/player per-record sound slots.
include/kf/item.h:KF_ITEM_COUNT	KF_ITEM_COUNT=80;KF_ITEM_SHOP_COUNT=2;KF_ITEM_STOCK_BANK_COUNT=3	retain	include/kf/item.h:KF_ITEM_COUNT		Item count, shop count and stock-bank count are separate table axes; the player bank explains why bank count exceeds shop count.
include/kf/item.h:KF_ITEM_STOCK_PLAYER	KF_ITEM_STOCK_PLAYER=0;KF_ITEM_STOCK_FIRST_SHOP=1;KF_ITEM_STOCK_SECOND_SHOP=2	reuse	include/kf/item.h:KfItemStockBank		Promote the canonical stock-bank names into KfItemStockBank and use them directly for inventory indexing and shop arguments.
include/kf/item.h:KfShopId	KF_SHOP_NONE=0;KF_SHOP_FIRST=1;KF_SHOP_SECOND=2	reuse	include/kf/item.h:KfItemStockBank	KF_SHOP_NONE=include/kf/item.h:KF_ITEM_STOCK_PLAYER;KF_SHOP_FIRST=include/kf/item.h:KF_ITEM_STOCK_FIRST_SHOP;KF_SHOP_SECOND=include/kf/item.h:KF_ITEM_STOCK_SECOND_SHOP	Remove KfShopId and its aliases; shops and the player are rows of the same stock-bank namespace.
include/kf/item.h:KF_FLOOR_ITEM_CAPACITY	KF_FLOOR_ITEM_CAPACITY=64;KF_FLOOR_ITEM_RENDER_BRIGHTNESS=180;KF_ITEM_STACK_CAPACITY=99	retain	include/kf/item.h:KF_FLOOR_ITEM_CAPACITY		Floor-item pool capacity, render brightness and maximum owned stack have different units; equal other capacities are unrelated.
include/kf/item.h:KfItemId	KF_ITEM_SHORT_SWORD=0;KF_ITEM_BATTLE_AXE=1;KF_ITEM_KNIGHT_SWORD=2;KF_ITEM_COLICHEMARDE=3;KF_ITEM_MORNING_STAR=4;KF_ITEM_BASTARD_SWORD=5;KF_ITEM_CRESCENT_AXE=6;KF_ITEM_TRIPLE_FANG=7;KF_ITEM_FLAME_SWORD=8;KF_ITEM_SHADOW_BLADE=9;KF_ITEM_DRAGON_SWORD=10;KF_ITEM_MOONLIGHT_SWORD=11;KF_ITEM_IRON_MASK=13;KF_ITEM_KNIGHT_HELM=14;KF_ITEM_GREAT_HELM=15;KF_ITEM_BLACK_MASK=16;KF_ITEM_MIST_CROWN=17;KF_ITEM_BREASTPLATE=19;KF_ITEM_KNIGHT_PLATE=20;KF_ITEM_FULL_PLATE=21;KF_ITEM_FIRE_MAIL=22;KF_ITEM_SKULL_ARMOR=23;KF_ITEM_FOREST_ARMOR=24;KF_ITEM_SMALL_SHIELD=26;KF_ITEM_KNIGHT_SHIELD=27;KF_ITEM_TOWER_SHIELD=28;KF_ITEM_BLACK_DRAGON=29;KF_ITEM_WIND_GUARD=30;KF_ITEM_GAUNTLET=32;KF_ITEM_KNIGHT_GLOVE=33;KF_ITEM_STONE_HAND=34;KF_ITEM_IRON_BOOTS=35;KF_ITEM_KNIGHT_BOOTS=36;KF_ITEM_LEG_GUARDS=37;KF_ITEM_FEATHER_BOOTS=38;KF_ITEM_GOLD_COIN=39;KF_ITEM_BLOODSTONE=40;KF_ITEM_MOONSTONE=41;KF_ITEM_VERDITE=42;KF_ITEM_MEDICINAL_HERB=43;KF_ITEM_ANTIDOTE_HERB=44;KF_ITEM_RECOVERY_MEDICINE=45;KF_ITEM_DRAGON_KING_GRASS_LEAF=46;KF_ITEM_DRAGON_KING_GRASS_FRUIT=47;KF_ITEM_LIGHT_RING=48;KF_ITEM_MOON_AMULET=49;KF_ITEM_WIND_BLADE_BRACELET=50;KF_ITEM_TWO_HEADED_DRAGON_RING=51;KF_ITEM_GOLD_CROSS=52;KF_ITEM_KEY_OF_THE_DEAD=53;KF_ITEM_RAITO_FAMILY_KEY=54;KF_ITEM_WATCHMAN_MAP=55;KF_ITEM_DRAGON_CHALICE=56;KF_ITEM_ILLUSION_STAFF=57;KF_ITEM_GREEN_DRAGON_STAFF=58;KF_ITEM_MIRROR_OF_TRUTH=59;KF_ITEM_DUNGEON_KEY=60;KF_ITEM_DRAGON_CREST=61;KF_ITEM_HARP=62;KF_ITEM_WATER_SEAL_STONE=63;KF_ITEM_EARTH_SEAL_STONE=64;KF_ITEM_SEAL_CANDLESTICK=67;KF_ITEM_FIRE_SEAL_STONE=68;KF_ITEM_WIND_SEAL_STONE=69;KF_ITEM_HOLY_SEAL_STONE=70;KF_ITEM_SORCERER_MAP=73;KF_ITEM_SORCERER_KEY=74;KF_ITEM_DEMON_KING_HAND=75;KF_ITEM_SALAMANDER_STATUE=76;KF_ITEM_NONE=255	reuse	include/kf/item.h:KfObjectId	KF_ITEM_NONE=include/kf/item.h:KF_OBJECT_NONE	Canonical KfObjectId covers inventory items and map objects; item table users retain their explicit item-count/subset constraints.
include/kf/item.h:KfFloorItemSpriteId	KF_FLOOR_ITEM_SPRITE_0=0;KF_FLOOR_ITEM_SPRITE_1=1;KF_FLOOR_ITEM_SPRITE_2=2;KF_FLOOR_ITEM_SPRITE_3=3;KF_FLOOR_ITEM_SPRITE_4=4;KF_FLOOR_ITEM_SPRITE_5=5;KF_FLOOR_ITEM_SPRITE_6=6;KF_FLOOR_ITEM_END=65535	retain	include/kf/item.h:KfFloorItemSpriteId		Floor-sprite row IDs identify a seven-entry descriptor/animation bank; they are distinct from inventory and map-object IDs.
include/kf/item.h:KF_FLOOR_ITEM_SPRITE_COUNT	KF_FLOOR_ITEM_SPRITE_COUNT=7;KF_FLOOR_ITEM_FACING_MASK=240;KF_FLOOR_ITEM_FACING_TO_ANGLE_SHIFT=6;KF_FLOOR_ITEM_FRAME_COUNT_MASK=15;KF_FLOOR_ITEM_INITIAL_FRAME_RANDOM_BITS=15;KF_FLOOR_ITEM_FIXED_FACING_DEPTH_BIAS=150;KF_FLOOR_ITEM_BILLBOARD_DEPTH_BIAS=200	reuse	include/kf/item.h:KF_FLOOR_ITEM_SPRITE_COUNT;include/kf/item.h:KfFloorItemAppearance	KF_FLOOR_ITEM_FACING_MASK=include/kf/item.h:KF_FLOOR_ITEM_APPEARANCE_FACING_MASK;KF_FLOOR_ITEM_FRAME_COUNT_MASK=include/kf/item.h:KF_FLOOR_ITEM_APPEARANCE_FRAME_MASK	Remove the duplicate numeric appearance masks; encode the canonical appearance mask enum in packing arithmetic. Retain angle/random conversions and render depth biases.
include/kf/item.h:KfFloorItemFacing	KF_FLOOR_ITEM_FACING_BILLBOARD=0;KF_FLOOR_ITEM_FACING_ZERO_YAW=16;KF_FLOOR_ITEM_FACING_QUARTER_TURN=32;KF_FLOOR_ITEM_FACING_HALF_TURN=48;KF_FLOOR_ITEM_FACING_THREE_QUARTER_TURN=64;KF_FLOOR_ITEM_FACING_50=80;KF_FLOOR_ITEM_FACING_60=96;KF_FLOOR_ITEM_FACING_70=112;KF_FLOOR_ITEM_FACING_80=128;KF_FLOOR_ITEM_FACING_90=144;KF_FLOOR_ITEM_FACING_A0=160;KF_FLOOR_ITEM_FACING_B0=176;KF_FLOOR_ITEM_FACING_C0=192;KF_FLOOR_ITEM_FACING_D0=208;KF_FLOOR_ITEM_FACING_E0=224;KF_FLOOR_ITEM_FACING_F0=240	retain	include/kf/item.h:KfFloorItemFacing		Facing is a biased high-nibble selector, not ordinary quarter-heading or one-based map orientation. Packing/unpacking keeps that representation boundary.
